READ  9D94 <- 18    --- 73: 00, 74: 00, 75: 00, 6F: 00, 70: 00
                 73 --- 73: 18, 74: 00, 75: 00, 6F: 00, 70: 00
                 74 --- 73: 18, 74: 01, 75: 00, 6F: 00, 70: 00
                 73 --- 73: 30, 74: 01, 75: 00, 6F: 00, 70: 00
                 6F --- 73: 30, 74: 01, 75: 00, 6F: 00, 70: 00
                 74 --- 73: 30, 74: 00, 75: 00, 6F: 00, 70: 00
                 74 --- 73: 30, 74: 08, 75: 00, 6F: 00, 70: 00
                 73 --- 73: 60, 74: 08, 75: 00, 6F: 00, 70: 00
                 6F --- 73: 60, 74: 08, 75: 00, 6F: 00, 70: 00
                 74 --- 73: 60, 74: 07, 75: 00, 6F: 00, 70: 00
                 73 --- 73: C0, 74: 07, 75: 00, 6F: 00, 70: 00
                 6F --- 73: C0, 74: 07, 75: 00, 6F: 00, 70: 00
                 74 --- 73: C0, 74: 06, 75: 00, 6F: 00, 70: 00
                 73 --- 73: 80, 74: 06, 75: 00, 6F: 00, 70: 00
                 6F --- 73: 80, 74: 06, 75: 00, 6F: 01, 70: 00
                 74 --- 73: 80, 74: 05, 75: 00, 6F: 01, 70: 00
                 73 --- 73: 00, 74: 05, 75: 00, 6F: 01, 70: 00
                 6F --- 73: 00, 74: 05, 75: 00, 6F: 03, 70: 00
                 74 --- 73: 00, 74: 04, 75: 00, 6F: 03, 70: 00
                 73 --- 73: 00, 74: 04, 75: 00, 6F: 03, 70: 00
                 6F --- 73: 00, 74: 04, 75: 00, 6F: 06, 70: 00
                 74 --- 73: 00, 74: 03, 75: 00, 6F: 06, 70: 00
                 73 --- 73: 00, 74: 03, 75: 00, 6F: 06, 70: 00
                 6F --- 73: 00, 74: 03, 75: 00, 6F: 0C, 70: 00
                 74 --- 73: 00, 74: 02, 75: 00, 6F: 0C, 70: 00
                 73 --- 73: 00, 74: 02, 75: 00, 6F: 0C, 70: 00
                 6F --- 73: 00, 74: 02, 75: 00, 6F: 18, 70: 00
READ  9D95 <- 00    --- 73: 00, 74: 02, 75: 00, 6F: 18, 70: 00
                 73 --- 73: 00, 74: 02, 75: 00, 6F: 18, 70: 00
